127,"C'Geb1958'MtrC012'TFl","Vorlauftemperatur"
128,"C'Geb1958'MtrC012'TRt","Rücklauftemperatur"
129,"C'Geb1958'MtrC208'Fl","Durchfluss"
130,"C'Geb1958'MtrC208'Pwr","Leistung"
131,"C'Geb1958'MtrC208'TFl","Vorlauftemperatur"
132,"C'Geb1958'MtrC208'TRt","Rücklauftemperatur"
133,"C'Geb1910'00'CurrPh1","Stromstärke Phase 1"
134,"C'Geb1910'00'CurrPh2","Stromstärke Phase 2"
135,"C'Geb1910'00'CurrPh3","Stromstärke Phase 3"
136,"C'Geb1910'00'PwrActv","Wirkleistung"
137,"C'Geb1910'01'CurrPh1","Stromstärke Phase 1"
138,"C'Geb1910'01'CurrPh2","Stromstärke Phase 2"
139,"C'Geb1910'01'CurrPh3","Stromstärke Phase 3"
140,"C'Geb1910'01'PwrActv","Wirkleistung"
141,"C'Geb1910'02'CurrPh1","Stromstärke Phase 1"
142,"C'Geb1910'02'CurrPh2","Stromstärke Phase 2"
143,"C'Geb1910'02'CurrPh3","Stromstärke Phase 3"
144,"C'Geb1910'02'PwrActv","Wirkleistung"
145,"C'Geb1910'MtrC1'CumEg","Kumulierte Energie"
146,"C'Geb1910'MtrC1'Fl","Durchfluss"
147,"C'Geb1910'MtrC1'Pwr","Leistung"
148,"C'Geb1910'MtrC1'TFl","Vorlauftemperatur"
149,"C'Geb1910'MtrC1'TRt","Rücklauftemperatur"
150,"C'Geb1910'MtrC2'CumEg","Kumulierte Energie"
151,"C'Geb1910'MtrC2'Fl","Durchfluss"
152,"C'Geb1910'MtrC2'Pwr","Leistung"
153,"C'Geb1910'MtrC2'TFl","Vorlauftemperatur"
154,"C'Geb1910'MtrC2'TRt","Rücklauftemperatur"
155,"C'TOa","Aussentemperatur"
156,"C'Geb1952'01'CurrPh1","Stromstärke Phase 1"
157,"C'Geb1952'01'CurrPh2","Stromstärke Phase 2"
158,"C'Geb1952'01'CurrPh3","Stromstärke Phase 3"
159,"C'Geb1952'01'PwrActv","Wirkleistung"
160,"C'Geb1952'02'CurrPh1","Stromstärke Phase 1"
161,"C'Geb1952'02'CurrPh2","Stromstärke Phase 2"
162,"C'Geb1952'02'CurrPh3","Stromstärke Phase 3"
163,"C'Geb1952'02'PwrActv","Wirkleistung"
164,"C'Geb1952'Mtr01'Fl","Durchfluss"
165,"C'Geb1952'Mtr01'Pwr","Leistung"
166,"C'Geb1952'Mtr01'TFl","Vorlauftemperatur"
167,"C'Geb1952'Mtr01'TRt","Rücklauftemperatur"
168,"C'Geb1952'Mtr02'Fl","Durchfluss"
169,"C'Geb1952'Mtr02'Pwr","Leistung"
170,"C'Geb1952'Mtr02'TFl","Vorlauftemperatur"
171,"C'Geb1952'Mtr02'TRt","Rücklauftemperatur"
172,"C'Geb1952'Mtr03'Fl","Durchfluss"
173,"C'Geb1952'Mtr03'Pwr","Leistung"
174,"C'Geb1952'Mtr03'TFl","Vorlauftemperatur"
175,"C'Geb1952'Mtr03'TRt","Rücklauftemperatur"
